ID,PAINTING,total_fixations,areas_of_interest,visits_to_final_area,isolated_fixations,area_duration_min,area_duration_max,area_duration_mean,area_duration_std,min_fixations_per_area,max_fixations_per_area,mean_fixations_per_area,std_fixations_per_area,last_series_duration,last_series_num_fixations,first_is_longest_duration,first_is_most_fixations,last_is_longest_duration,last_is_most_fixations,total_duration_fixations,fixation_duration_min,fixation_duration_max,fixation_duration_mean,fixation_duration_std,min_dilatation,max_dilatation,mean_dilatation,std_dilatation,instance_area_mean_dilatation_min,instance_area_mean_dilatation_max,instance_area_mean_dilatation_mean,instance_area_mean_dilatation_std,dilatation_range_min,dilatation_range_max,dilatation_range_mean,dilatation_range_std,is_max_dilatation_in_first_instance_area,is_max_dilatation_in_last_instance_area,returns_to_initial_area,times_returns_to_initial_area,n_area_changes_before_first_long_area,initial_instance_area_duration_ms,initial_instance_area_n_fixations,vote,RFLabel
278,10,12,2,4,6,2541,5852,4196.5,2341.230552508659,4,8,6.0,2.8284271247461903,2541.0,4,True,True,False,False,8393,616,1309,699.4166666666666,198.2475304596083,33.08955790312637,38.8014909433683,36.234189414570224,0.4996500945870918,34.064224333031,38.00879074319669,36.2616189704266,1.4070878898823076,1.0644990220808097,3.44487038713492,1.8638127632291013,0.9483170286140754,False,False,True,3,1,5852.0,8,34,1.0
277,23,19,2,2,3,1386,12243,6814.5,7677.058323342347,2,17,9.5,10.606601717798211,1386.0,2,True,True,False,False,13629,616,924,717.3157894736842,89.10671045411348,23.82333860815745,29.80510251020608,26.613873535735724,0.3970943322216955,25.39481275372523,26.72643850216814,26.19175491161416,0.6295288006618582,0.5484942232353269,5.98176390204863,2.612652210670218,2.4814217790556543,True,False,True,1,1,12243.0,17,46,1.0
204,9,10,2,2,2,2156,5544,3850.0,2395.677774660023,3,7,5.0,2.8284271247461903,5544.0,7,False,False,False,False,7700,616,1386,770.0,232.4215518788604,42.06918682223932,54.97375732936533,49.20110030279427,2.121179392106013,48.03459735396326,53.99327658607613,50.65907149279568,2.625995213738712,1.2976668814919563,11.34711817257567,6.2124335630985605,4.325296384804757,False,False,True,1,1,2156.0,3,48,1.0
337,20,14,2,3,3,3850,6006,4928.0,1524.5222202381965,5,9,7.0,2.8284271247461903,6006.0,9,False,False,False,False,9856,616,1078,704.0,137.93086339511936,38.61234664916992,44.44476318359375,41.89959229477359,0.4009044404624019,39.125484466552734,44.00428771972656,41.74553012687732,1.8942763719796103,0.6636886596679688,4.079143524169922,1.770507812500001,1.2999735275431323,False,False,True,2,2,3850.0,5,34,1.0
277,18,12,3,3,3,616,5313,3465.0,2503.388303879364,1,6,4.0,2.6457513110645907,4466.0,5,True,True,False,False,10395,616,1463,866.25,286.46596656496564,32.54118349648911,43.11691806180104,39.32655007905089,0.3959247039444734,32.820160195564554,41.749271601825406,38.67401027037738,2.9394914310293374,0.6122328882884318,3.507523528952184,1.8943073553903969,1.12104780253829,False,False,True,2,1,5313.0,6,34,1.0
77,10,4,2,2,2,1617,2772,2194.5,816.7083322704624,1,3,2.0,1.4142135623730951,2772.0,3,True,True,False,False,4389,693,1617,1097.25,476.2186997588398,44.334739685058594,50.92648696899414,48.00693932033721,0.4151586640447039,45.199030194963726,50.60431374443902,47.971850203458594,2.705373821865826,0.7521171569824219,1.9296340942382884,1.35992558797201,0.5896823192016617,False,True,True,1,1,2772.0,3,41,0.0
376,6,6,2,2,1,1617,3388,2502.5,1252.2861094813757,2,4,3.0,1.4142135623730951,3388.0,4,True,True,False,False,5005,616,1309,834.1666666666666,254.99287571747308,46.11285400390625,50.63305282592773,48.62155675150471,0.2884489638959708,48.57529703776042,48.66704944618906,48.60664819296323,0.052321671030989,0.6901931762695241,4.520198822021477,2.92645136515299,1.9942043130503897,False,False,True,1,1,3388.0,4,20,0.0
199,1,6,2,1,0,1694,2618,2156.0,653.36666581637,2,4,3.0,1.4142135623730951,2618.0,4,False,False,True,True,4312,616,924,718.6666666666666,115.92698851719848,45.5604825739168,50.44265842382868,48.1498755344332,0.6017376743271532,47.7745229642056,48.337551819547,48.0560373918763,0.398121521615609,4.407706441755252,4.8821758499118815,4.644941145833567,0.3355005359731204,True,False,True,0,1,1694.0,2,35,0.0
211,20,9,3,2,4,1232,4312,2541.0,1591.1263306224305,1,5,3.0,2.0,2079.0,3,False,False,False,False,7623,616,1309,847.0,258.2658514012257,35.34943291257755,43.69754756538879,40.4684710123793,0.5750567736396438,37.62503988657034,43.03084237714469,39.91449184439063,2.331863510162376,1.167524242481079,4.631825878430732,2.6130724299001606,1.5669216501602894,False,False,True,2,5,4312.0,5,31,1.0
8,47,12,2,2,1,616,8547,4581.5,5608.063881590509,1,11,6.0,7.071067811865476,8547.0,11,True,True,False,False,9163,616,1155,763.5833333333334,165.66255863451264,24.582195281982425,30.983339309692383,26.305166355327326,0.5898154585876056,25.848571430974538,27.541331466039026,26.546444438342693,0.8846028093339435,1.048294067382809,5.274942398071289,2.9613787333170536,2.1415944058574268,False,True,True,1,1,8547.0,11,48,1.0
204,4,10,3,2,2,770,4081,2669.333333333333,1708.521095372642,1,5,3.333333333333333,2.081665999466133,3157.0,4,False,False,False,True,8008,616,1309,800.8,227.26235451076755,42.99341039010383,55.55115322405002,51.95038600409621,1.393569434933768,48.51108759950916,53.759683021189424,51.51895916244786,2.079262827984982,4.218720716935806,11.046687780412556,6.365617688039055,2.761205494479319,False,False,True,1,2,3157.0,4,38,0.0
