iteration,accuracy,sensitivity,specificity,ppv,npv,selected_features
1,0.7214611872146118,0.6404494382022472,0.7769230769230769,0.6627906976744186,0.7593984962406015,"total_fixations, areas_of_interest, isolated_fixations, std_fixations_per_area, first_is_most_fixations, last_is_longest_duration, total_duration_fixations, fixation_duration_min, max_dilatation, std_dilatation, instance_area_mean_dilatation_min, instance_area_mean_dilatation_max, instance_area_mean_dilatation_mean, instance_area_mean_dilatation_std, dilatation_range_max, dilatation_range_mean, dilatation_range_std, is_max_dilatation_in_first_instance_area, is_max_dilatation_in_last_instance_area, times_returns_to_initial_area, initial_instance_area_duration_ms"
2,0.7031963470319634,0.504950495049505,0.8728813559322034,0.7727272727272727,0.673202614379085,"areas_of_interest, isolated_fixations, area_duration_max, area_duration_std, max_fixations_per_area, std_fixations_per_area, first_is_longest_duration, first_is_most_fixations, last_is_longest_duration, last_is_most_fixations, fixation_duration_min, fixation_duration_max, fixation_duration_mean, fixation_duration_std, min_dilatation, max_dilatation, mean_dilatation, std_dilatation, instance_area_mean_dilatation_max, dilatation_range_min, dilatation_range_std, is_max_dilatation_in_first_instance_area, is_max_dilatation_in_last_instance_area, returns_to_initial_area, times_returns_to_initial_area, initial_instance_area_n_fixations"
3,0.6940639269406392,0.6153846153846154,0.7652173913043478,0.7032967032967034,0.6875,"areas_of_interest, visits_to_final_area, area_duration_max, area_duration_std, first_is_most_fixations, fixation_duration_max, mean_dilatation, std_dilatation, instance_area_mean_dilatation_min, instance_area_mean_dilatation_max, instance_area_mean_dilatation_std, dilatation_range_min, dilatation_range_max, dilatation_range_mean, dilatation_range_std"
4,0.6986301369863014,0.6067415730337079,0.7615384615384615,0.6352941176470588,0.7388059701492538,"total_fixations, area_duration_min, area_duration_mean, area_duration_std, min_fixations_per_area, max_fixations_per_area, mean_fixations_per_area, first_is_most_fixations, total_duration_fixations, max_dilatation, std_dilatation, instance_area_mean_dilatation_min, instance_area_mean_dilatation_max, instance_area_mean_dilatation_mean, instance_area_mean_dilatation_std, dilatation_range_std, returns_to_initial_area, times_returns_to_initial_area, n_area_changes_before_first_long_area"
5,0.7031963470319634,0.5544554455445545,0.8305084745762712,0.7368421052631579,0.6853146853146853,"total_fixations, areas_of_interest, area_duration_mean, mean_fixations_per_area, std_fixations_per_area, first_is_most_fixations, last_is_longest_duration, last_is_most_fixations, fixation_duration_std, min_dilatation, mean_dilatation, std_dilatation, instance_area_mean_dilatation_min, instance_area_mean_dilatation_std, dilatation_range_std, returns_to_initial_area, times_returns_to_initial_area"
6,0.726027397260274,0.6210526315789474,0.8064516129032258,0.7108433734939759,0.7352941176470589,"areas_of_interest, min_fixations_per_area, mean_fixations_per_area, std_fixations_per_area, last_is_most_fixations, fixation_duration_std, min_dilatation, mean_dilatation, std_dilatation, instance_area_mean_dilatation_min, instance_area_mean_dilatation_max, instance_area_mean_dilatation_mean, instance_area_mean_dilatation_std, dilatation_range_max, dilatation_range_std, returns_to_initial_area, times_returns_to_initial_area, n_area_changes_before_first_long_area"
7,0.7168949771689498,0.5204081632653061,0.8760330578512396,0.7727272727272727,0.6928104575163399,"areas_of_interest, visits_to_final_area, area_duration_std, mean_fixations_per_area, last_series_duration, first_is_most_fixations, total_duration_fixations, fixation_duration_min, min_dilatation, max_dilatation, std_dilatation, instance_area_mean_dilatation_max, instance_area_mean_dilatation_std, dilatation_range_min, dilatation_range_max, dilatation_range_mean, dilatation_range_std, returns_to_initial_area, initial_instance_area_duration_ms"
8,0.730593607305936,0.6373626373626373,0.796875,0.6904761904761905,0.7555555555555555,"visits_to_final_area, isolated_fixations, min_fixations_per_area, last_series_num_fixations, first_is_most_fixations, last_is_longest_duration, total_duration_fixations, fixation_duration_min, fixation_duration_mean, fixation_duration_std, mean_dilatation, std_dilatation, instance_area_mean_dilatation_min, instance_area_mean_dilatation_max, instance_area_mean_dilatation_std, dilatation_range_min, dilatation_range_max, dilatation_range_std, returns_to_initial_area, times_returns_to_initial_area"
9,0.7534246575342466,0.6881720430107527,0.8015873015873016,0.7191011235955056,0.7769230769230769,"min_fixations_per_area, max_fixations_per_area, mean_fixations_per_area, last_series_num_fixations, last_is_longest_duration, total_duration_fixations, min_dilatation, max_dilatation, mean_dilatation, std_dilatation, instance_area_mean_dilatation_min, instance_area_mean_dilatation_std, is_max_dilatation_in_first_instance_area, returns_to_initial_area, initial_instance_area_duration_ms, initial_instance_area_n_fixations"
10,0.7214611872146118,0.6344086021505376,0.7857142857142857,0.686046511627907,0.7443609022556391,"area_duration_max, area_duration_mean, area_duration_std, min_fixations_per_area, last_series_num_fixations, first_is_longest_duration, first_is_most_fixations, last_is_longest_duration, total_duration_fixations, fixation_duration_min, max_dilatation, instance_area_mean_dilatation_mean, instance_area_mean_dilatation_std, dilatation_range_std, is_max_dilatation_in_last_instance_area, returns_to_initial_area"
